keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,occurrences,formal_branches,formal_scopes,fields,source_tags,source_codes,source_titles
(Semi-) Fredholm operators; index theories,(Semi-) Fredholm operators; index theories,https://scholar.google.com/scholar?q=(Semi-)%20Fredholm%20operators%3B%20index%20theories,1,Mathematics,core,Operator theory,MSC2020:47A53,47A53,"(Semi-) Fredholm operators; index theories [See also 58B15, 58J20]"
"(Spaces of) multilinear mappings, polynomials","(Spaces of) multilinear mappings, polynomials",https://scholar.google.com/scholar?q=(Spaces%20of)%20multilinear%20mappings%2C%20polynomials,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46G25,46G25,"(Spaces of) multilinear mappings, polynomials [See also 46E50, 46G20, 47H60]"
"(gamma, delta)-rings, including (1, 1)-rings","(gamma, delta)-rings, including (1, 1)-rings",https://scholar.google.com/scholar?q=(gamma%2C%20delta)-rings%2C%20including%20(1%2C%201)-rings,1,Mathematics,core,Nonassociative rings and algebras,MSC2020:17D20,17D20,"(γ, δ)-rings, including (1, −1)-rings"
Etale and flat extensions; Henselization; Artin approximation,Etale and flat extensions; Henselization; Artin approximation,https://scholar.google.com/scholar?q=Etale%20and%20flat%20extensions%3B%20Henselization%3B%20Artin%20approximation,1,Mathematics,core,Commutative algebra,MSC2020:13B40,13B40,"´Etale and flat extensions; Henselization; Artin approximation [See also 13J15, 14B12, 14B25]"
Etale and other Grothendieck topologies and (co)homologies,Etale and other Grothendieck topologies and (co)homologies,https://scholar.google.com/scholar?q=Etale%20and%20other%20Grothendieck%20topologies%20and%20(co)homologies,1,Mathematics,core,Algebraic geometry,MSC2020:14F20,14F20,´Etale and other Grothendieck topologies and (co)homologies
"Etale cohomology, higher regulators, zeta and L-functions (K-theoretic aspects)","Etale cohomology, higher regulators, zeta and L-functions (K-theoretic aspects)",https://scholar.google.com/scholar?q=Etale%20cohomology%2C%20higher%20regulators%2C%20zeta%20and%20L-functions%20(K-theoretic%20aspects),1,Mathematics,core,"K-theory [See also 16E20, 18F25]",MSC2020:19F27,19F27,"´Etale cohomology, higher regulators, zeta and L-functions (K-theoretic aspects) [See also 11G40, 11R42, 11S40, 14F20, 14G10]"
Cech types,Cech types,https://scholar.google.com/scholar?q=Cech%20types,1,Mathematics,core,Algebraic topology,MSC2020:55N05,55N05,ˇCech types
and -Neumann operators,and -Neumann operators,https://scholar.google.com/scholar?q=and%20-Neumann%20operators,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32W05,32W05,∂ and ∂-Neumann operators
-Neumann problems and formal complexes in context of PDEs,-Neumann problems and formal complexes in context of PDEs,https://scholar.google.com/scholar?q=-Neumann%20problems%20and%20formal%20complexes%20in%20context%20of%20PDEs,1,Mathematics,core,Partial differential equations,MSC2020:35N15,35N15,"∂-Neumann problems and formal complexes in context of PDEs [See also 32W05, 32W10, 58J10]"
b and b-Neumann operators,b and b-Neumann operators,https://scholar.google.com/scholar?q=b%20and%20b-Neumann%20operators,1,Mathematics,core,"Several complex variables and analytic spaces {For infinitedimensional holomorphy, see also 46G20, 58B12}",MSC2020:32W10,32W10,∂b and ∂b-Neumann operators
infinity-operads and higher algebra,infinity-operads and higher algebra,https://scholar.google.com/scholar?q=infinity-operads%20and%20higher%20algebra,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18N70,18N70,∞-operads and higher algebra [See also 18M75]
"2-categories, bicategories, double categories","2-categories, bicategories, double categories",https://scholar.google.com/scholar?q=2-categories%2C%20bicategories%2C%20double%20categories,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18N10,18N10,"2-categories, bicategories, double categories"
2-dimensional monad theory,2-dimensional monad theory,https://scholar.google.com/scholar?q=2-dimensional%20monad%20theory,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18N15,18N15,2-dimensional monad theory [See also 18C15]
"2-dimensional topology (including mapping class groups of surfaces, Teichmuller theory, curve complexes, etc.)","2-dimensional topology (including mapping class groups of surfaces, Teichmuller theory, curve complexes, etc.)",https://scholar.google.com/scholar?q=2-dimensional%20topology%20(including%20mapping%20class%20groups%20of%20surfaces%2C%20Teichmuller%20theory%2C%20curve%20complexes%2C%20etc.),1,Mathematics,core,"Manifolds and cell complexes {For complex manifolds, see 32Qxx}",MSC2020:57K20,57K20,"2-dimensional topology (including mapping class groups of surfaces, Teichm¨uller theory, curve complexes, etc.)"
"2-groups, crossed modules, crossed complexes","2-groups, crossed modules, crossed complexes",https://scholar.google.com/scholar?q=2-groups%2C%20crossed%20modules%2C%20crossed%20complexes,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18G45,18G45,"2-groups, crossed modules, crossed complexes"
2-person games,2-person games,https://scholar.google.com/scholar?q=2-person%20games,1,Game theory and formal social science,adjacent,"Game theory, economics, finance, and other social and behavioral sciences",MSC2020:91A05,91A05,2-person games
3-folds,3-folds,https://scholar.google.com/scholar?q=3-folds,1,Mathematics,core,Algebraic geometry,MSC2020:14J30,14J30,3-folds
4-folds,4-folds,https://scholar.google.com/scholar?q=4-folds,1,Mathematics,core,Algebraic geometry,MSC2020:14J35,14J35,4-folds
A priori estimates in context of PDEs,A priori estimates in context of PDEs,https://scholar.google.com/scholar?q=A%20priori%20estimates%20in%20context%20of%20PDEs,1,Mathematics,core,Partial differential equations,MSC2020:35B45,35B45,A priori estimates in context of PDEs
"Ainfinity-categories, relations with homological mirror symmetry","Ainfinity-categories, relations with homological mirror symmetry",https://scholar.google.com/scholar?q=Ainfinity-categories%2C%20relations%20with%20homological%20mirror%20symmetry,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18G70,18G70,"A∞-categories, relations with homological mirror symmetry [See also 14F08, 14J33, 53D37]"
"Abel, Borel and power series methods","Abel, Borel and power series methods",https://scholar.google.com/scholar?q=Abel%2C%20Borel%20and%20power%20series%20methods,1,Mathematics,core,"Sequences, series, summability",MSC2020:40G10,40G10,"Abel, Borel and power series methods"
"Abelian categories, Grothendieck categories","Abelian categories, Grothendieck categories",https://scholar.google.com/scholar?q=Abelian%20categories%2C%20Grothendieck%20categories,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18E10,18E10,"Abelian categories, Grothendieck categories"
Abelian groups,Abelian groups,https://scholar.google.com/scholar?q=Abelian%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20Kxx,20Kxx,Abelian groups
Abelian varieties and schemes,Abelian varieties and schemes,https://scholar.google.com/scholar?q=Abelian%20varieties%20and%20schemes,1,Mathematics,core,Algebraic geometry,MSC2020:14Kxx,14Kxx,Abelian varieties and schemes
Abelian varieties of dimension > 1,Abelian varieties of dimension > 1,https://scholar.google.com/scholar?q=Abelian%20varieties%20of%20dimension%20%3E%201,1,Mathematics,core,Number theory,MSC2020:11G10,11G10,Abelian varieties of dimension > 1 [See also 14Kxx]
Absolute and strong summability,Absolute and strong summability,https://scholar.google.com/scholar?q=Absolute%20and%20strong%20summability,2,Mathematics,core,"Sequences, series, summability",MSC2020:40F05; MSC2020:40Fxx,40F05; 40Fxx,Absolute and strong summability [Should also be assigned at least one other classification number in Section 40]
"Absolute neighborhood extensor, absolute extensor, absolute neighborhood retract (ANR), absolute retract spaces (general properties)","Absolute neighborhood extensor, absolute extensor, absolute neighborhood retract (ANR), absolute retract spaces (general properties)",https://scholar.google.com/scholar?q=Absolute%20neighborhood%20extensor%2C%20absolute%20extensor%2C%20absolute%20neighborhood%20retract%20(ANR)%2C%20absolute%20retract%20spaces%20(general%20properties),1,Mathematics,core,"General topology {For the topology of manifolds of all dimensions, see 57Nxx}",MSC2020:54C55,54C55,"Absolute neighborhood extensor, absolute extensor, absolute neighborhood retract (ANR), absolute retract spaces (general properties) [See also 55M15]"
Absolute neighborhood retracts,Absolute neighborhood retracts,https://scholar.google.com/scholar?q=Absolute%20neighborhood%20retracts,1,Mathematics,core,Algebraic topology,MSC2020:55M15,55M15,Absolute neighborhood retracts [See also 54C55]
Absolute planes in metric geometry,Absolute planes in metric geometry,https://scholar.google.com/scholar?q=Absolute%20planes%20in%20metric%20geometry,1,Mathematics,core,"Geometry {For algebraic geometry, see 14-XX; for differential geometry, see 53-XX}",MSC2020:51F05,51F05,Absolute planes in metric geometry
Absolute spaces in metric geometry,Absolute spaces in metric geometry,https://scholar.google.com/scholar?q=Absolute%20spaces%20in%20metric%20geometry,1,Mathematics,core,"Geometry {For algebraic geometry, see 14-XX; for differential geometry, see 53-XX}",MSC2020:51F10,51F10,Absolute spaces in metric geometry
Absolutely continuous real functions in one variable,Absolutely continuous real functions in one variable,https://scholar.google.com/scholar?q=Absolutely%20continuous%20real%20functions%20in%20one%20variable,1,Mathematics,core,Real functions [See also 54C30],MSC2020:26A46,26A46,Absolutely continuous real functions in one variable
"Absolutely continuous real functions of several variables, functions of bounded variation","Absolutely continuous real functions of several variables, functions of bounded variation",https://scholar.google.com/scholar?q=Absolutely%20continuous%20real%20functions%20of%20several%20variables%2C%20functions%20of%20bounded%20variation,1,Mathematics,core,Real functions [See also 54C30],MSC2020:26B30,26B30,"Absolutely continuous real functions of several variables, functions of bounded variation"
Abstract (Maeda) geometries,Abstract (Maeda) geometries,https://scholar.google.com/scholar?q=Abstract%20(Maeda)%20geometries,1,Mathematics,core,"Geometry {For algebraic geometry, see 14-XX; for differential geometry, see 53-XX}",MSC2020:51D05,51D05,Abstract (Maeda) geometries
Abstract algebraic logic,Abstract algebraic logic,https://scholar.google.com/scholar?q=Abstract%20algebraic%20logic,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03G27,03G27,Abstract algebraic logic
Abstract and axiomatic computability and recursion theory,Abstract and axiomatic computability and recursion theory,https://scholar.google.com/scholar?q=Abstract%20and%20axiomatic%20computability%20and%20recursion%20theory,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03D75,03D75,Abstract and axiomatic computability and recursion theory
Abstract and axiomatic homotopy theory in algebraic topology,Abstract and axiomatic homotopy theory in algebraic topology,https://scholar.google.com/scholar?q=Abstract%20and%20axiomatic%20homotopy%20theory%20in%20algebraic%20topology,1,Mathematics,core,Algebraic topology,MSC2020:55U35,55U35,Abstract and axiomatic homotopy theory in algebraic topology
Abstract approximation theory (approximation in normed linear spaces and other abstract spaces),Abstract approximation theory (approximation in normed linear spaces and other abstract spaces),https://scholar.google.com/scholar?q=Abstract%20approximation%20theory%20(approximation%20in%20normed%20linear%20spaces%20and%20other%20abstract%20spaces),1,Mathematics,core,"Approximations and expansions {For approximation theory in the complex domain, see 30E05, 30E10; for trigonometric approximation and interpolation, see 42A10, 42A15; for numerical approximation, see 65Dxx}",MSC2020:41A65,41A65,Abstract approximation theory (approximation in normed linear spaces and other abstract spaces)
Abstract bifurcation theory involving nonlinear operators,Abstract bifurcation theory involving nonlinear operators,https://scholar.google.com/scholar?q=Abstract%20bifurcation%20theory%20involving%20nonlinear%20operators,1,Mathematics,core,Operator theory,MSC2020:47J15,47J15,"Abstract bifurcation theory involving nonlinear operators [See also 34C23, 37Gxx, 58E07, 58E09]"
Abstract complexes in algebraic topology,Abstract complexes in algebraic topology,https://scholar.google.com/scholar?q=Abstract%20complexes%20in%20algebraic%20topology,1,Mathematics,core,Algebraic topology,MSC2020:55U05,55U05,Abstract complexes in algebraic topology
Abstract computational complexity for mathematical programming problems,Abstract computational complexity for mathematical programming problems,https://scholar.google.com/scholar?q=Abstract%20computational%20complexity%20for%20mathematical%20programming%20problems,1,Operations research and optimization,adjacent,"Operations research, mathematical programming",MSC2020:90C60,90C60,Abstract computational complexity for mathematical programming problems [See also 68Q25]
"Abstract critical point theory (Morse theory, Lyusternik-Shnirel'man theory, etc.) in infinite-dimensional spaces","Abstract critical point theory (Morse theory, Lyusternik-Shnirel'man theory, etc.) in infinite-dimensional spaces",https://scholar.google.com/scholar?q=Abstract%20critical%20point%20theory%20(Morse%20theory%2C%20Lyusternik-Shnirel'man%20theory%2C%20etc.)%20in%20infinite-dimensional%20spaces,1,Mathematics,core,"Global analysis, analysis on manifolds [See also 32Cxx, 32Fxx, 32Wxx, 46-XX, 53Cxx] {For nonlinear operators, see 47Hxx; for geometric integration theory, see 49Q15}",MSC2020:58E05,58E05,"Abstract critical point theory (Morse theory, Lyusternik-Shnirel’man theory, etc.) in infinite-dimensional spaces"
Abstract data types; algebraic specification,Abstract data types; algebraic specification,https://scholar.google.com/scholar?q=Abstract%20data%20types%3B%20algebraic%20specification,1,Computer science,core,"Computer science {For papers containing software, source code, etc. in a specific mathematical area, see the classification number –04 in that area}",MSC2020:68Q65,68Q65,Abstract data types; algebraic specification [See also 18C50]
Abstract deductive systems,Abstract deductive systems,https://scholar.google.com/scholar?q=Abstract%20deductive%20systems,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03B22,03B22,Abstract deductive systems
Abstract differential equations,Abstract differential equations,https://scholar.google.com/scholar?q=Abstract%20differential%20equations,1,Mathematics,core,Field theory and polynomials,MSC2020:12H20,12H20,Abstract differential equations [See also 34Mxx]
"Abstract differentiation theory, differentiation of set functions","Abstract differentiation theory, differentiation of set functions",https://scholar.google.com/scholar?q=Abstract%20differentiation%20theory%2C%20differentiation%20of%20set%20functions,1,Mathematics,core,"Measure and integration {For analysis on manifolds, see 58-XX}",MSC2020:28A15,28A15,"Abstract differentiation theory, differentiation of set functions [See also 26A24]"
Abstract elementary classes and related topics,Abstract elementary classes and related topics,https://scholar.google.com/scholar?q=Abstract%20elementary%20classes%20and%20related%20topics,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03C48,03C48,Abstract elementary classes and related topics [See also 03C45]
Abstract finite groups,Abstract finite groups,https://scholar.google.com/scholar?q=Abstract%20finite%20groups,1,Mathematics,core,Group theory and generalizations,MSC2020:20Dxx,20Dxx,Abstract finite groups
Abstract geometries with exchange axiom,Abstract geometries with exchange axiom,https://scholar.google.com/scholar?q=Abstract%20geometries%20with%20exchange%20axiom,1,Mathematics,core,"Geometry {For algebraic geometry, see 14-XX; for differential geometry, see 53-XX}",MSC2020:51D10,51D10,Abstract geometries with exchange axiom
Abstract geometries with parallelism,Abstract geometries with parallelism,https://scholar.google.com/scholar?q=Abstract%20geometries%20with%20parallelism,1,Mathematics,core,"Geometry {For algebraic geometry, see 14-XX; for differential geometry, see 53-XX}",MSC2020:51D15,51D15,Abstract geometries with parallelism
Abstract harmonic analysis,Abstract harmonic analysis,https://scholar.google.com/scholar?q=Abstract%20harmonic%20analysis,2,Mathematics,core,"Abstract harmonic analysis {For other analysis on topological and Lie groups, see 22Exx}",MSC2020:43-XX; MSC2020:43Axx,43-XX; 43Axx,"Abstract harmonic analysis {For other analysis on topological and Lie groups, see 22Exx}"
Abstract hyperbolic equations,Abstract hyperbolic equations,https://scholar.google.com/scholar?q=Abstract%20hyperbolic%20equations,1,Mathematics,core,Partial differential equations,MSC2020:35L90,35L90,Abstract hyperbolic equations
"Abstract integral equations, integral equations in abstract spaces","Abstract integral equations, integral equations in abstract spaces",https://scholar.google.com/scholar?q=Abstract%20integral%20equations%2C%20integral%20equations%20in%20abstract%20spaces,2,Mathematics,core,Integral equations,MSC2020:45N05; MSC2020:45Nxx,45N05; 45Nxx,"Abstract integral equations, integral equations in abstract spaces"
Abstract interpolation of topological vector spaces,Abstract interpolation of topological vector spaces,https://scholar.google.com/scholar?q=Abstract%20interpolation%20of%20topological%20vector%20spaces,1,Mathematics,core,"Functional analysis {For manifolds modeled on topological linear spaces, see 57Nxx, 58Bxx}",MSC2020:46M35,46M35,Abstract interpolation of topological vector spaces [See also 46B70]
Abstract inverse mapping and implicit function theorems involving nonlinear operators,Abstract inverse mapping and implicit function theorems involving nonlinear operators,https://scholar.google.com/scholar?q=Abstract%20inverse%20mapping%20and%20implicit%20function%20theorems%20involving%20nonlinear%20operators,1,Mathematics,core,Operator theory,MSC2020:47J07,47J07,"Abstract inverse mapping and implicit function theorems involving nonlinear operators [See also 46T20, 58C15]"
Abstract manifolds and fiber bundles (category-theoretic aspects),Abstract manifolds and fiber bundles (category-theoretic aspects),https://scholar.google.com/scholar?q=Abstract%20manifolds%20and%20fiber%20bundles%20(category-theoretic%20aspects),1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18F15,18F15,"Abstract manifolds and fiber bundles (category-theoretic aspects) [See also 55Rxx, 57Pxx]"
Abstract model theory,Abstract model theory,https://scholar.google.com/scholar?q=Abstract%20model%20theory,1,Logic and foundations,core,Mathematical logic and foundations,MSC2020:03C95,03C95,Abstract model theory
Abstract operator algebras on Hilbert spaces,Abstract operator algebras on Hilbert spaces,https://scholar.google.com/scholar?q=Abstract%20operator%20algebras%20on%20Hilbert%20spaces,1,Mathematics,core,Operator theory,MSC2020:47L30,47L30,Abstract operator algebras on Hilbert spaces
Abstract parabolic equations,Abstract parabolic equations,https://scholar.google.com/scholar?q=Abstract%20parabolic%20equations,1,Mathematics,core,Partial differential equations,MSC2020:35K90,35K90,Abstract parabolic equations
Acceleration of convergence in numerical analysis,Acceleration of convergence in numerical analysis,https://scholar.google.com/scholar?q=Acceleration%20of%20convergence%20in%20numerical%20analysis,1,Numerical analysis and scientific computing,core,Numerical analysis,MSC2020:65Bxx,65Bxx,Acceleration of convergence in numerical analysis
Accessible and locally presentable categories,Accessible and locally presentable categories,https://scholar.google.com/scholar?q=Accessible%20and%20locally%20presentable%20categories,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18C35,18C35,Accessible and locally presentable categories
Action-minimizing orbits and measures for finite-dimensional Hamiltonian and Lagrangian systems; variational principles; degree-theoretic methods,Action-minimizing orbits and measures for finite-dimensional Hamiltonian and Lagrangian systems; variational principles; degree-theoretic methods,https://scholar.google.com/scholar?q=Action-minimizing%20orbits%20and%20measures%20for%20finite-dimensional%20Hamiltonian%20and%20Lagrangian%20systems%3B%20variational%20principles%3B%20degree-theoretic%20methods,1,Mathematics,core,"Dynamical systems and ergodic theory [See also 26A18, 28Dxx, 34Cxx, 34Dxx, 35Bxx, 46Lxx, 58Jxx, 70-XX]",MSC2020:37J51,37J51,Action-minimizing orbits and measures for finite-dimensional Hamiltonian and Lagrangian systems; variational principles; degree-theoretic methods
"Actions of a monoidal category, tensorial strength","Actions of a monoidal category, tensorial strength",https://scholar.google.com/scholar?q=Actions%20of%20a%20monoidal%20category%2C%20tensorial%20strength,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18D25,18D25,"Actions of a monoidal category, tensorial strength {For functional programming, see also 68N18}"
Actions of groups and semigroups; invariant theory (associative rings and algebras),Actions of groups and semigroups; invariant theory (associative rings and algebras),https://scholar.google.com/scholar?q=Actions%20of%20groups%20and%20semigroups%3B%20invariant%20theory%20(associative%20rings%20and%20algebras),1,Mathematics,core,"Associative rings and algebras {For the commutative case, see 13-XX}",MSC2020:16W22,16W22,Actions of groups and semigroups; invariant theory (associative rings and algebras)
Actions of groups on commutative rings; invariant theory,Actions of groups on commutative rings; invariant theory,https://scholar.google.com/scholar?q=Actions%20of%20groups%20on%20commutative%20rings%3B%20invariant%20theory,1,Mathematics,core,Commutative algebra,MSC2020:13A50,13A50,Actions of groups on commutative rings; invariant theory [See also 14L24]
Actuarial mathematics,Actuarial mathematics,https://scholar.google.com/scholar?q=Actuarial%20mathematics,1,Game theory and formal social science,adjacent,"Game theory, economics, finance, and other social and behavioral sciences",MSC2020:91G05,91G05,Actuarial mathematics
Actuarial science and mathematical finance,Actuarial science and mathematical finance,https://scholar.google.com/scholar?q=Actuarial%20science%20and%20mathematical%20finance,1,Game theory and formal social science,adjacent,"Game theory, economics, finance, and other social and behavioral sciences",MSC2020:91Gxx,91Gxx,"Actuarial science and mathematical finance {For statistics, see 62P05}"
Adele rings and groups,Adele rings and groups,https://scholar.google.com/scholar?q=Adele%20rings%20and%20groups,1,Mathematics,core,Number theory,MSC2020:11R56,11R56,Ad`ele rings and groups
Adams spectral sequences,Adams spectral sequences,https://scholar.google.com/scholar?q=Adams%20spectral%20sequences,1,Mathematics,core,Algebraic topology,MSC2020:55T15,55T15,Adams spectral sequences
Adaptive control/observation systems,Adaptive control/observation systems,https://scholar.google.com/scholar?q=Adaptive%20control%2Fobservation%20systems,1,Systems theory and control,adjacent,"Systems theory; control {For optimal control, see 49-XX}",MSC2020:93C40,93C40,Adaptive control/observation systems
Adaptive or robust stabilization,Adaptive or robust stabilization,https://scholar.google.com/scholar?q=Adaptive%20or%20robust%20stabilization,1,Systems theory and control,adjacent,"Systems theory; control {For optimal control, see 49-XX}",MSC2020:93D21,93D21,Adaptive or robust stabilization
"Additive bases, including sumsets","Additive bases, including sumsets",https://scholar.google.com/scholar?q=Additive%20bases%2C%20including%20sumsets,1,Mathematics,core,Number theory,MSC2020:11B13,11B13,"Additive bases, including sumsets [See also 05B10]"
Additive difference equations,Additive difference equations,https://scholar.google.com/scholar?q=Additive%20difference%20equations,1,Mathematics,core,Difference and functional equations,MSC2020:39A10,39A10,Additive difference equations
Additive number theory; partitions,Additive number theory; partitions,https://scholar.google.com/scholar?q=Additive%20number%20theory%3B%20partitions,1,Mathematics,core,Number theory,MSC2020:11Pxx,11Pxx,Additive number theory; partitions
"Adjoint functors (universal constructions, reflective subcategories, Kan extensions, etc.)","Adjoint functors (universal constructions, reflective subcategories, Kan extensions, etc.)",https://scholar.google.com/scholar?q=Adjoint%20functors%20(universal%20constructions%2C%20reflective%20subcategories%2C%20Kan%20extensions%2C%20etc.),1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18A40,18A40,"Adjoint functors (universal constructions, reflective subcategories, Kan extensions, etc.)"
Adjunction problems,Adjunction problems,https://scholar.google.com/scholar?q=Adjunction%20problems,1,Mathematics,core,Algebraic geometry,MSC2020:14N30,14N30,Adjunction problems
